Designator,Mid X,Mid Y,Rotation,Layer
C_AUDIO_10U,44.500mm,42.500mm,0.0,Top
C_AUDIO_BULK,48.000mm,44.000mm,0.0,Top
C_AUDIO_HF,42.000mm,40.500mm,0.0,Top
C_BUCK_IN,19.000mm,32.500mm,0.0,Top
C_BUCK_OUT,27.800mm,36.000mm,0.0,Top
C_BUS,16.900mm,28.000mm,0.0,Top
C_NINA_BULK,52.000mm,20.500mm,0.0,Top
C_NINA_HF,49.000mm,20.000mm,0.0,Top
C_USB_RAW,10.500mm,35.500mm,0.0,Top
D1,57.500mm,22.500mm,0.0,Top
F1,15.000mm,36.000mm,0.0,Top
J1,3.675mm,28.000mm,270.0,Top
J2,25.000mm,3.250mm,180.0,Top
J3,54.700mm,37.000mm,90.0,Top
L1,23.800mm,36.000mm,0.0,Top
Q1,35.500mm,7.500mm,0.0,Top
R_BL_PU,35.500mm,10.000mm,0.0,Top
R_BL_SER,33.000mm,10.000mm,0.0,Top
R_CC1,9.500mm,23.000mm,0.0,Top
R_CC2,9.500mm,33.000mm,0.0,Top
R_GAIN,39.000mm,34.700mm,180.0,Top
R_LED_B,55.000mm,23.500mm,0.0,Top
R_LED_G,55.000mm,22.000mm,0.0,Top
R_LED_R,55.000mm,20.500mm,0.0,Top
R_PG,25.500mm,31.500mm,0.0,Top
R_SD,39.000mm,31.500mm,0.0,Top
R_SD_PD,36.000mm,34.000mm,180.0,Top
R_SH,12.000mm,32.000mm,0.0,Top
U1,54.750mm,11.000mm,0.0,Top
U2,20.000mm,36.000mm,0.0,Top
U3,12.000mm,28.000mm,0.0,Top
U4,44.000mm,36.000mm,0.0,Top
